event_name,event_code
Alamo Regional sponsored by Rackspace Hosting,txsa
Arizona East Regional,azch
Arizona West Regional,azpx
Autodesk Oregon Regional,orpo
BAE Systems Granite State Regional,nhma
Bayou Regional,lake
Bedford FIRST Robotics District Competition,mibed
Boilermaker Regional,inwl
Boston Regional,mabo
Bridgewater-Raritan FIRST Robotics District Competition,njbrg
Buckeye Regional,ohcl
Central Valley Regional,cama
Central Washington Regional,wase
Chesapeake Regional,mdba
Colorado Regional,code
Connecticut Regional sponsored by UTC,ctha
Crossroads Regional,inth
Dallas Regional,txda
Detroit FIRST Robotics District Competition,midet
Festival de Robotique FRC a Montreal Regional,qcmo
Finger Lakes Regional,nyro
Grand Blanc FIRST Robotics District Competition,migbl
Greater Kansas City Regional,mokc
Greater Toronto East Regional,onto
Greater Toronto West Regional,onto
Gull Lake FIRST Robotics District Competition,migul
Hatboro-Horsham FIRST Robotics District Competition,pahat
Hawaii Regional sponsored by BAE Systems,hiho
Hub City Regional,txlu
Inland Empire Regional,casb
Israel Regional,ista
Kettering University FIRST Robotics District Competition,miket
Lake Superior Regional,mndu
Las Vegas Regional,nvlv
Lenape Seneca FIRST Robotics District Competition,njlen
Livonia FIRST Robotics District Competition,miliv
Lone Star Regional,txho
Los Angeles Regional,calb
Michigan FRC State Championship,micmp
Mid-Atlantic Robotics FRC Region Championship,mrcmp
Midwest Regional,ilch
Minnesota 10000 Lakes Regional,mnmi
Minnesota North Star Regional,mnmi2
Mount Olive FIRST Robotics District Competition,njfla
New York City Regional,nyny
North Carolina Regional,ncre
Northern Lights Regional,mndu2
Oklahoma Regional,okok
Orlando Regional,flor
Palmetto Regional,scmb
Peachtree Regional,gadu
Pine Tree Regional,mele
Pittsburgh Regional,papi
Queen City Regional,ohic
Razorback Regional,arfa
Sacramento Regional,casa
San Diego Regional,casd
SBPLI Long Island Regional,nyli
Seattle Regional,wase
Silicon Valley Regional,casj
Smoky Mountains Regional,tnkn
South Florida Regional,flfo
Spokane Regional,wach
Springside - Chestnut Hill FIRST Robotics District Competition,paphi
St Joseph FIRST Robotics District Competition,misjo
St. Louis Regional,mosl
TCnj FIRST Robotics District Competition,njewn
Traverse City FIRST Robotics District Competition,mitvc
Troy FIRST Robotics District Competition,mitry
Utah Regional sponsored by NASA,utwv
Virginia Regional,vari
Washington DC Regional,dcwa
Waterford FIRST Robotics District Competition,miwfd
Waterloo Regional,onwa
West Michigan FIRST Robotics District Competition,miwmi
Western Canadian FRC Regional,abca
Wisconsin Regional,wimi
WPI Regional,mawo
